itemID,numFeature_1,numFeature_2,catFeature_1,catFeature_2,catFeature_3,catFeature_4,catFeature_5,catFeature_6
R31655,546370,230,Budget/Mid-Market Upscale,Freehold/Fee - Simple,Management,None,Brand_F,Location_Q
X03550,386186,165,Full Service Midscale,Freehold/Fee - Simple,None / Vacant Possession,Land Sale Only (Leasehold Land Tenure),Brand_J,Location_U
A14227,1139214,374,Full Service Upscale,Freehold/Fee - Simple,Brand; Management,Distressed; Re-Positioning Potential; Value Added Opportunity,Brand_B,Location_D
R14167,7322241,5374,Full Service Midscale,Freehold/Fee - Simple,None / Vacant Possession,Value Added Opportunity,Brand_D,Location_Z
G03138,733729,508,Full Service Upscale,NA,None / Vacant Possession,None,Brand_E,Location_N
O25834,327183,294,Full Service Upscale,NA,None / Vacant Possession,NA,Brand_I,Location_D
U01470,2146378,1998,Full Service Midscale,NA,Brand; Franchise,Conversion of Use,Brand_C,Location_B
I29136,515973,433,Full Service Midscale,Freehold/Fee - Simple,NA,Re-Positioning Potential; Value Added Opportunity,Brand_I,Location_D
I03671,819609,283,Budget/Mid-Market Midscale,Freehold/Fee - Simple,Brand; Management,Re-Positioning Potential,Brand_D,Location_Z
Y18905,2864238,462,Budget/Mid-Market Midscale,Freehold/Fee - Simple,None / Vacant Possession,None,Brand_H,Location_W
G14329,2027263,537,Full Service Midscale,Freehold/Fee - Simple,None / Vacant Possession,None,Brand_B,Location_D
Z11857,227121,310,Budget/Mid-Market Upscale,Freehold/Fee - Simple,Franchise,Land Sale Only (Leasehold Land Tenure),Brand_E,Location_N
S03422,867506,135,Full Service Upscale,Freehold/Fee - Simple,Leased Operating Interest,None,Brand_C,Location_B
G03962,5018990,820,Full Service Upscale,Freehold/Fee - Simple,Franchise,None,Brand_I,Location_D
N22155,4073413,202,Full Service Upscale,Freehold/Fee - Simple,Management,None,Brand_C,Location_B
S37230,738793,562,Full Service Luxury,Freehold/Fee - Simple,Brand,NA,Brand_A,Location_J
S19052,178232,614,Full Service Upscale,Freehold/Fee - Simple,None / Vacant Possession,None,Brand_F,Location_Q
T26538,878969,704,Full Service Upscale,Freehold/Fee - Simple,None / Vacant Possession,Value Added Opportunity,Brand_B,Location_D
B21908,1085312,802,Full Service Midscale,Leasehold,None / Vacant Possession,None,Brand_F,Location_Q
K33138,372080,748,Full Service Luxury,Freehold/Fee - Simple,Franchise,Value Added Opportunity,Brand_G,Location_R
K05824,1694934,63,Budget/Mid-Market Economy,Leasehold,None / Vacant Possession,Re-Positioning Potential; Value Added Opportunity,Brand_D,Location_Z
V12158,3192660,89,Full Service Upscale,Freehold/Fee - Simple,NA,Value Added Opportunity,Brand_J,Location_U
K19523,419196,206,Budget/Mid-Market Economy,Leasehold,None / Vacant Possession,Re-Positioning Potential; Value Added Opportunity,Brand_G,Location_R
Y34650,521089,736,Full Service Midscale,Freehold/Fee - Simple,Franchise,None,Brand_J,Location_U
N30163,849436,1142,Full Service Midscale,Freehold/Fee - Simple,Franchise,NA,Brand_I,Location_D
D07066,223883,302,Full Service Upscale,Freehold/Fee - Simple,Brand; Management,None,Brand_G,Location_R
H24486,997184,148,Full Service Upscale,Freehold/Fee - Simple,None / Vacant Possession,Value Added Opportunity,Brand_E,Location_N
B11217,759157,437,Budget/Mid-Market Midscale,Freehold/Fee - Simple,None / Vacant Possession,NA,Brand_F,Location_Q
S19823,1290755,3106,Full Service Luxury,Freehold/Fee - Simple,Brand; Leased Operating Interest,Sale and Manageback,Brand_C,Location_B
T25614,2352345,537,Full Service Upscale,Freehold/Fee - Simple,NA,None,Brand_H,Location_W
B19207,1487734,329,Budget/Mid-Market Economy,Freehold/Fee - Simple,None / Vacant Possession,None,Brand_C,Location_B
U27520,2145085,1124,Full Service Luxury,Leasehold,Brand; Leased Operating Interest,Distressed,Brand_J,Location_U
A26943,788868,271,Budget/Mid-Market Midscale,Freehold/Fee - Simple,Brand; Management,None,Brand_H,Location_W
D35490,448388,270,Full Service Upscale,Freehold/Fee - Simple,Leased Operating Interest,NA,Brand_B,Location_D
